ImageId,Label
1,2
2,0
3,9
4,7
5,3
6,7
7,0
8,3
9,0
10,3
11,5
12,9
13,9
14,0
15,4
16,3
17,3
18,1
19,9
20,0
21,9
22,1
23,1
24,5
25,7
26,4
27,2
28,7
29,7
30,7
31,7
32,5
33,4
34,2
35,6
36,2
37,8
38,5
39,1
40,6
41,7
42,7
43,4
44,9
45,8
46,7
47,8
48,8
49,6
50,1
51,6
52,8
53,8
54,3
55,8
56,2
57,1
58,2
59,1
60,0
61,4
62,1
63,7
64,0
65,0
66,0
67,1
68,9
69,0
70,1
71,6
72,5
73,8
74,8
75,2
76,8
77,3
78,9
79,2
80,8
81,5
82,9
83,1
84,0
85,9
86,2
87,4
88,3
89,6
90,7
91,2
92,0
93,6
94,6
95,1
96,4
97,3
98,9
99,7
100,4
